Exchange,Name,Type,Min Order Size,Min Grid Step
BYBT,ADAUSD,COIN_FUTURES,1 USD,0.0002 USD
BYBT,BTCUSD,COIN_FUTURES,1 USD,0.2 USD
BYBT,ETHUSD,COIN_FUTURES,1 USD,0.02 USD
BYBT,LTCUSD,COIN_FUTURES,1 USD,0.02 USD
BYBT,XRPUSD,COIN_FUTURES,1 USD,0.0002 USD
BYBT,BTCUSDT,SPOT,BUY: 7 USDT / SELL: 0.00008 BTC,0.2 USDT
BYBT,ETHUSDT,SPOT,BUY: 5 USDT / SELL: 0.0008 ETH,0.02 USDT
BYBT,XRPUSDT,SPOT,BUY: 20 USDT / SELL: 7 XRP,0.0002 USDT
BYBT,LTCUSDT,SPOT,BUY: 7 USDT / SELL: 0.1 LTC,0.02 USDT
BYBT,DOGEUSDT,SPOT,BUY: 7 USDT / SELL: 20 DOGE,0.00002 USDT
BYBT,ADAUSDT,SPOT,BUY: 5 USDT / SELL: 2 ADA,0.0002 USDT
BYBT,SOLUSDT,SPOT,BUY: 10 USDT / SELL: 0.2 SOL,0.02 USDT
BYBT,TONUSDT,SPOT,BUY: 10 USDT / SELL: 0.7 TON,0.002 USDT
BYBT,SUIUSDT,SPOT,BUY: 20 USDT / SELL: 5 SUI,0.0002 USDT
BYBT,ADAUSDT,USDT_FUTURES,2 ADA,0.0002 USDT
BYBT,BTCUSDT,USDT_FUTURES,0.001 BTC,0.2 USDT
BYBT,DOGEUSDT,USDT_FUTURES,10 DOGE,0.00002 USDT
BYBT,ETHUSDT,USDT_FUTURES,0.01 ETH,0.02 USDT
BYBT,LTCUSDT,USDT_FUTURES,0.1 LTC,0.02 USDT
BYBT,SOLUSDT,USDT_FUTURES,0.1 SOL,0.02 USDT
BYBT,SUIUSDT,USDT_FUTURES,10 SUI,0.0002 USDT
BYBT,XRPUSDT,USDT_FUTURES,3 XRP,0.0002 USDT
BYBT,TONUSDT,USDT_FUTURES,0.3 TON,0.0002 USDT
BYBT,ETHFIUSDT,SPOT,BUY: 20 USDT / SELL: 2 ETHFI,0.002 USDT
BYBT,ETHFIUSDT,USDT_FUTURES,0.3 ETHFI,0.0002 USDT
BYBT,SOLUSD,COIN_FUTURES,1 USD,0.02 USD
OKX,BTC-USDT-SWAP,USDT_FUTURES,0.0001 BTC,0.2 USDT
OKX,ETH-USDT-SWAP,USDT_FUTURES,0.001 ETH,0.02 USDT
OKX,XRP-USDT-SWAP,USDT_FUTURES,1 XRP,0.0002 USDT
OKX,SOL-USDT-SWAP,USDT_FUTURES,0.01 SOL,0.02 USDT
OKX,DOGE-USDT-SWAP,USDT_FUTURES,10 DOGE,0.00002 USDT
OKX,LTC-USDT-SWAP,USDT_FUTURES,0.1 LTC,0.02 USDT
OKX,ADA-USDT-SWAP,USDT_FUTURES,10 ADA,0.0002 USDT
OKX,ETHFI-USDT-SWAP,USDT_FUTURES,1 ETHFI,0.0002 USDT
OKX,SUI-USDT-SWAP,USDT_FUTURES,1 SUI,0.0002 USDT
OKX,TON-USDT-SWAP,USDT_FUTURES,1 TON,0.002 USDT
BYBT,ETHBTCUSDT,USDT_FUTURES,20 ETHBTC,0.000002 USDT
OKX,BTC-USDT,SPOT,BUY: 5 USDT / SELL: 0.00001 BTC,0.2 USDT
OKX,ETH-USDT,SPOT,BUY: 5 USDT / SELL: 0.0001 ETH,0.02 USDT
OKX,XRP-USDT,SPOT,BUY: 7 USDT / SELL: 5 XRP,0.0002 USDT
OKX,SOL-USDT,SPOT,BUY: 7 USDT / SELL: 0.02 SOL,0.02 USDT
OKX,DOGE-USDT,SPOT,BUY: 10 USDT / SELL: 30 DOGE,0.00002 USDT
OKX,ADA-USDT,SPOT,BUY: 15 USDT / SELL: 10 ADA,0.0002 USDT
OKX,LTC-USDT,SPOT,BUY: 7 USDT / SELL: 0.07 LTC,0.02 USDT
OKX,SUI-USDT,SPOT,BUY: 5 USDT / SELL: 5 SUI,0.0002 USDT
OKX,TON-USDT,SPOT,BUY: 7 USDT / SELL: 0.3 TON,0.002 USDT
OKX,BTC-USD-SWAP,COIN_FUTURES,100 USD,0.2 USD
OKX,ETH-USD-SWAP,COIN_FUTURES,10 USD,0.02 USD
OKX,XRP-USD-SWAP,COIN_FUTURES,10 USD,0.0002 USD
OKX,SOL-USD-SWAP,COIN_FUTURES,10 USD,0.02 USD
OKX,DOGE-USD-SWAP,COIN_FUTURES,10 USD,0.00002 USD
OKX,ADA-USD-SWAP,COIN_FUTURES,10 USD,0.0002 USD
OKX,LTC-USD-SWAP,COIN_FUTURES,10 USD,0.02 USD
OKX,SUI-USD-SWAP,COIN_FUTURES,10 USD,0.0002 USD
BYBT,SOLAYERUSDT,USDT_FUTURES,2 SOLAYER,0.0002 USDT
BYBT,DOGEUSD,COIN_FUTURES,1 USD,0.00002 USD
BYBT,SUIUSD,COIN_FUTURES,1 USD,0.0002 USD
BYBT,TONUSD,COIN_FUTURES,1 USD,0.0002 USD
BMEX,XBTUSD,COIN_FUTURES,100 USD,0.2 USD
BMEX,XRPUSDT,USDT_FUTURES,1 XRP,0.0002 USDT
BMEX,DOGEUSDT,USDT_FUTURES,10 DOGE,0.00002 USDT
BMEX,SOLUSDT,USDT_FUTURES,0.1 SOL,0.02 USDT
BMEX,SUIUSDT,USDT_FUTURES,0.1 SUI,0.0002 USDT
BMEX,ADAUSDT,USDT_FUTURES,10 ADA,0.0002 USDT
BMEX,TONUSDT,USDT_FUTURES,1 TON,0.0002 USDT
BMEX,XBTUSDT,USDT_FUTURES,0.0001 XBT,0.2 USDT
BMEX,ETHUSDT,USDT_FUTURES,0.01 ETH,0.02 USDT
BMEX,LTCUSDT,USDT_FUTURES,0.1 LTC,0.02 USDT
BYBT,DOTUSD,COIN_FUTURES,1 USD,0.002 USD
BYBT,MANAUSD,COIN_FUTURES,1 USD,0.0002 USD
BYBT,DOTUSDT,SPOT,BUY: 5 USDT / SELL: 0.3 DOT,0.002 USDT
BYBT,XLMUSDT,SPOT,BUY: 12 USDT / SELL: 20 XLM,0.0002 USDT
BYBT,DYDXUSDT,SPOT,BUY: 20 USDT / SELL: 10 DYDX,0.0002 USDT
BYBT,COMPUSDT,SPOT,BUY: 20 USDT / SELL: 0.1 COMP,0.02 USDT
BYBT,AAVEUSDT,SPOT,BUY: 20 USDT / SELL: 0.04 AAVE,0.02 USDT
BYBT,LINKUSDT,SPOT,BUY: 20 USDT / SELL: 0.444 LINK,0.002 USDT
BYBT,UNIUSDT,SPOT,BUY: 7 USDT / SELL: 0.7 UNI,0.002 USDT
BYBT,ICPUSDT,SPOT,BUY: 20 USDT / SELL: 0.52 ICP,0.002 USDT
BYBT,BCHUSDT,SPOT,BUY: 20 USDT / SELL: 0.4 BCH,0.2 USDT
BYBT,FILUSDT,SPOT,BUY: 20 USDT / SELL: 1.14 FIL,0.002 USDT
BYBT,PERPUSDT,SPOT,BUY: 10 USDT / SELL: 2.9 PERP,0.0002 USDT
BYBT,WAVESUSDT,SPOT,BUY: 7 USDT / SELL: 1.6 WAVES,0.002 USDT
BYBT,SHIBUSDT,SPOT,BUY: 20 USDT / SELL: 327388.5 SHIB,0.000000002 USDT
BYBT,ATOMUSDT,SPOT,BUY: 7 USDT / SELL: 0.2 ATOM,0.002 USDT
BYBT,ALGOUSDT,SPOT,BUY: 20 USDT / SELL: 30 ALGO,0.0002 USDT
BYBT,AVAXUSDT,SPOT,BUY: 20 USDT / SELL: 0.134 AVAX,0.002 USDT
BYBT,IMXUSDT,SPOT,BUY: 20 USDT / SELL: 6 IMX,0.0002 USDT
BYBT,CAKEUSDT,SPOT,BUY: 20 USDT / SELL: 2.526 CAKE,0.002 USDT
BYBT,C98USDT,SPOT,BUY: 7 USDT / SELL: 16 C98,0.00002 USDT
BYBT,GALAUSDT,SPOT,BUY: 5 USDT / SELL: 64 GALA,0.00002 USDT
BYBT,1INCHUSDT,SPOT,BUY: 20 USDT / SELL: 4.94 1INCH,0.0002 USDT
BYBT,LDOUSDT,SPOT,BUY: 20 USDT / SELL: 1 LDO,0.0002 USDT
BYBT,RVNUSDT,SPOT,BUY: 20 USDT / SELL: 100 RVN,0.00002 USDT
BYBT,XECUSDT,SPOT,BUY: 10 USDT / SELL: 28248.6 XEC,0.00000002 USDT
BYBT,HNTUSDT,SPOT,BUY: 10 USDT / SELL: 0.4 HNT,0.002 USDT
BYBT,HBARUSDT,SPOT,BUY: 15 USDT / SELL: 60 HBAR,0.00002 USDT
BYBT,FLOWUSDT,SPOT,BUY: 20 USDT / SELL: 6.14 FLOW,0.0002 USDT
BYBT,RSS3USDT,SPOT,BUY: 20 USDT / SELL: 28.12 RSS3,0.00002 USDT
BYBT,BNBUSDT,SPOT,BUY: 20 USDT / SELL: 0.05 BNB,0.2 USDT
BYBT,NEARUSDT,SPOT,BUY: 5 USDT / SELL: 0.4 NEAR,0.002 USDT
BYBT,MINAUSDT,SPOT,BUY: 20 USDT / SELL: 5 MINA,0.0002 USDT
BYBT,APEXUSDT,SPOT,BUY: 3 USDT / SELL: 0.63 APEX,0.0002 USDT
BYBT,OPUSDT,SPOT,BUY: 3 USDT / SELL: 1.2 OP,0.0002 USDT
BYBT,INJUSDT,SPOT,BUY: 20 USDT / SELL: 0.8 INJ,0.002 USDT
BYBT,APTUSDT,SPOT,BUY: 20 USDT / SELL: 1 APT,0.002 USDT
BYBT,MASKUSDT,SPOT,BUY: 20 USDT / SELL: 1 MASK,0.002 USDT
BYBT,HFTUSDT,SPOT,BUY: 20 USDT / SELL: 15 HFT,0.00002 USDT
BYBT,TWTUSDT,SPOT,BUY: 20 USDT / SELL: 2 TWT,0.0002 USDT
BYBT,BONKUSDT,SPOT,BUY: 40 USDT / SELL: 1003729.7 BONK,0.000000002 USDT
BYBT,BLURUSDT,SPOT,BUY: 20 USDT / SELL: 10 BLUR,0.00002 USDT
BYBT,ARBUSDT,SPOT,BUY: 20 USDT / SELL: 10 ARB,0.0002 USDT
BYBT,PEPEUSDT,SPOT,BUY: 20 USDT / SELL: 600000 PEPE,0.000000002 USDT
BYBT,10000LADYSUSDT,USDT_FUTURES,800 10000LADYS,0.0000002 USDT
BYBT,1000BONKUSDT,USDT_FUTURES,200 1000BONK,0.000002 USDT
BYBT,1000BTTUSDT,USDT_FUTURES,500 1000BTT,0.0000002 USDT
BYBT,1000FLOKIUSDT,USDT_FUTURES,3 1000FLOKI,0.00002 USDT
BYBT,1000LUNCUSDT,USDT_FUTURES,3 1000LUNC,0.00002 USDT
BYBT,1000PEPEUSDT,USDT_FUTURES,200 1000PEPE,0.000002 USDT
BYBT,1INCHUSDT,USDT_FUTURES,0.8 1INCH,0.0002 USDT
BYBT,AAVEUSDT,USDT_FUTURES,0.02 AAVE,0.02 USDT
BYBT,ACHUSDT,USDT_FUTURES,20 ACH,0.000002 USDT
BYBT,AGLDUSDT,USDT_FUTURES,0.5 AGLD,0.0002 USDT
BYBT,ALGOUSDT,USDT_FUTURES,2 ALGO,0.0002 USDT
BYBT,APEUSDT,USDT_FUTURES,0.7 APE,0.0002 USDT
BYBT,API3USDT,USDT_FUTURES,0.3 API3,0.0002 USDT
BYBT,APTUSDT,USDT_FUTURES,0.05 APT,0.002 USDT
BYBT,ARBUSDT,USDT_FUTURES,0.5 ARB,0.0002 USDT
BYBT,ARPAUSDT,USDT_FUTURES,20 ARPA,0.00002 USDT
BYBT,ARUSDT,USDT_FUTURES,0.2 AR,0.002 USDT
BYBT,ASTRUSDT,USDT_FUTURES,10 ASTR,0.00002 USDT
BYBT,ATOMUSDT,USDT_FUTURES,0.3 ATOM,0.002 USDT
BYBT,AVAXUSDT,USDT_FUTURES,0.3 AVAX,0.002 USDT
BYBT,AXSUSDT,USDT_FUTURES,0.2 AXS,0.002 USDT
