Exchange,Name,Type,Min Order Size,Min Grid Step
BYBT,ADAUSDT,USDT_FUTURES,2 ADA,0.0002 USDT
BYBT,BTCUSDT,USDT_FUTURES,0.001 BTC,0.2 USDT
BYBT,DOGEUSDT,USDT_FUTURES,10 DOGE,0.00002 USDT
BYBT,ETHUSDT,USDT_FUTURES,0.01 ETH,0.02 USDT
BYBT,LTCUSDT,USDT_FUTURES,0.1 LTC,0.02 USDT
BYBT,SOLUSDT,USDT_FUTURES,0.1 SOL,0.02 USDT
BYBT,SUIUSDT,USDT_FUTURES,10 SUI,0.0002 USDT
BYBT,XRPUSDT,USDT_FUTURES,3 XRP,0.0002 USDT
BYBT,TONUSDT,USDT_FUTURES,0.3 TON,0.0002 USDT
BYBT,ETHFIUSDT,USDT_FUTURES,0.3 ETHFI,0.0002 USDT
BYBT,ETHBTCUSDT,USDT_FUTURES,20 ETHBTC,0.000002 USDT
BYBT,SOLAYERUSDT,USDT_FUTURES,2 SOLAYER,0.0002 USDT
BYBT,10000LADYSUSDT,USDT_FUTURES,800 10000LADYS,0.0000002 USDT
BYBT,1000BONKUSDT,USDT_FUTURES,200 1000BONK,0.000002 USDT
BYBT,1000BTTUSDT,USDT_FUTURES,500 1000BTT,0.0000002 USDT
BYBT,1000FLOKIUSDT,USDT_FUTURES,3 1000FLOKI,0.00002 USDT
BYBT,1000LUNCUSDT,USDT_FUTURES,3 1000LUNC,0.00002 USDT
BYBT,1000PEPEUSDT,USDT_FUTURES,200 1000PEPE,0.000002 USDT
BYBT,1INCHUSDT,USDT_FUTURES,0.8 1INCH,0.0002 USDT
BYBT,AAVEUSDT,USDT_FUTURES,0.02 AAVE,0.02 USDT
BYBT,ACHUSDT,USDT_FUTURES,20 ACH,0.000002 USDT
BYBT,AGLDUSDT,USDT_FUTURES,0.5 AGLD,0.0002 USDT
BYBT,ALGOUSDT,USDT_FUTURES,2 ALGO,0.0002 USDT
BYBT,APEUSDT,USDT_FUTURES,0.7 APE,0.0002 USDT
BYBT,API3USDT,USDT_FUTURES,0.3 API3,0.0002 USDT
BYBT,APTUSDT,USDT_FUTURES,0.05 APT,0.002 USDT
BYBT,ARBUSDT,USDT_FUTURES,0.5 ARB,0.0002 USDT
BYBT,ARPAUSDT,USDT_FUTURES,20 ARPA,0.00002 USDT
BYBT,ARUSDT,USDT_FUTURES,0.2 AR,0.002 USDT
BYBT,ASTRUSDT,USDT_FUTURES,10 ASTR,0.00002 USDT
BYBT,ATOMUSDT,USDT_FUTURES,0.3 ATOM,0.002 USDT
BYBT,AVAXUSDT,USDT_FUTURES,0.3 AVAX,0.002 USDT
BYBT,AXSUSDT,USDT_FUTURES,0.2 AXS,0.002 USDT
